Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:09:49.668000,GAS,10,0 days 00:01:24.271000,24.0,3.0,,,0 days 00:00:29.577000,0 days 00:00:18.452000,0 days 00:00:36.242000,0 days 01:08:54.974000,0 days 01:09:13.426000,0 days 01:09:49.668000,268.0,258.0,295.0,290.0,True,SOFT,11.0,True,Alpine,0 days 01:08:25.397000,,1,,False,,False,True
0 days 01:11:48.566000,GAS,10,0 days 00:01:58.898000,25.0,3.0,,,0 days 00:00:44.031000,0 days 00:00:27.122000,0 days 00:00:47.745000,0 days 01:10:33.699000,0 days 01:11:00.821000,0 days 01:11:48.566000,128.0,218.0,286.0,241.0,False,SOFT,12.0,True,Alpine,0 days 01:09:49.668000,,1,,False,,False,True
0 days 01:13:12.601000,GAS,10,0 days 00:01:24.035000,26.0,3.0,,,0 days 00:00:28.982000,0 days 00:00:18.597000,0 days 00:00:36.456000,0 days 01:12:17.548000,0 days 01:12:36.145000,0 days 01:13:12.601000,284.0,262.0,295.0,311.0,True,SOFT,13.0,True,Alpine,0 days 01:11:48.566000,,1,,False,,False,True
0 days 01:15:18.441000,GAS,10,,27.0,3.0,,0 days 01:15:18.441000,0 days 00:00:42.343000,0 days 00:00:30.441000,,0 days 01:13:55.161000,0 days 01:14:25.708000,,150.0,176.0,,225.0,False,SOFT,14.0,True,Alpine,0 days 01:13:12.601000,,1,,False,,False,False
0 days 00:21:50.601000,PER,11,0 days 00:02:08.844000,1.0,1.0,0 days 00:19:43.822000,,0 days 00:00:47.838000,0 days 00:00:24.897000,0 days 00:00:56.109000,0 days 00:20:29.777000,0 days 00:20:54.730000,0 days 00:21:50.634000,206.0,122.0,274.0,144.0,False,MEDIUM,1.0,True,Cadillac,0 days 00:19:43.822000,,71,,False,,False,False
0 days 00:23:21.038000,PER,11,0 days 00:01:30.437000,2.0,1.0,,,0 days 00:00:32.908000,0 days 00:00:18.694000,0 days 00:00:38.835000,0 days 00:22:23.509000,0 days 00:22:42.203000,0 days 00:23:21.038000,265.0,299.0,296.0,236.0,True,MEDIUM,2.0,True,Cadillac,0 days 00:21:50.601000,,1,,False,,False,True
0 days 00:25:20.166000,PER,11,0 days 00:01:59.128000,3.0,1.0,,,0 days 00:00:44.395000,0 days 00:00:25.572000,0 days 00:00:49.161000,0 days 00:24:05.433000,0 days 00:24:31.005000,0 days 00:25:20.166000,152.0,247.0,284.0,224.0,False,MEDIUM,3.0,True,Cadillac,0 days 00:23:21.038000,,1,,False,,False,True
0 days 00:26:47.573000,PER,11,0 days 00:01:27.407000,4.0,1.0,,,0 days 00:00:31.222000,0 days 00:00:18.409000,0 days 00:00:37.776000,0 days 00:25:51.388000,0 days 00:26:09.797000,0 days 00:26:47.573000,272.0,287.0,297.0,255.0,True,MEDIUM,4.0,True,Cadillac,0 days 00:25:20.166000,,1,,False,,False,True
0 days 00:47:22.305000,PER,11,,5.0,1.0,,0 days 00:28:42.430000,0 days 00:00:49.088000,0 days 00:00:22.916000,,0 days 00:27:36.907000,0 days 00:27:59.742000,,116.0,259.0,,204.0,False,MEDIUM,5.0,True,Cadillac,0 days 00:26:47.573000,,1,,False,,False,False
0 days 00:49:09.888000,PER,11,0 days 00:01:47.583000,6.0,2.0,0 days 00:47:24.384000,,0 days 00:00:40.008000,0 days 00:00:20.692000,0 days 00:00:46.883000,0 days 00:48:02.313000,0 days 00:48:23.005000,0 days 00:49:09.888000,240.0,273.0,284.0,162.0,False,MEDIUM,6.0,False,Cadillac,0 days 00:47:22.305000,,1,,False,,False,False
0 days 00:50:36.020000,PER,11,0 days 00:01:26.132000,7.0,2.0,,,0 days 00:00:30.245000,0 days 00:00:18.912000,0 days 00:00:36.975000,0 days 00:49:40.133000,0 days 00:49:59.045000,0 days 00:50:36.020000,263.0,284.0,302.0,264.0,True,MEDIUM,7.0,False,Cadillac,0 days 00:49:09.888000,,1,,False,,False,True
0 days 00:58:35.978000,PER,11,,8.0,2.0,,0 days 00:52:20.687000,0 days 00:00:42.089000,0 days 00:00:21.890000,,0 days 00:51:18.388000,0 days 00:51:40.286000,,181.0,279.0,,195.0,False,MEDIUM,8.0,False,Cadillac,0 days 00:50:36.020000,,1,,False,,False,False
0 days 01:00:20.168000,PER,11,0 days 00:01:44.190000,9.0,3.0,0 days 00:58:38.058000,,0 days 00:00:40.570000,0 days 00:00:20.735000,0 days 00:00:42.885000,0 days 00:59:16.548000,0 days 00:59:37.283000,0 days 01:00:20.168000,234.0,275.0,285.0,185.0,False,SOFT,1.0,True,Cadillac,0 days 00:58:35.978000,,1,,False,,False,False
0 days 01:01:44.788000,PER,11,0 days 00:01:24.620000,10.0,3.0,,,0 days 00:00:29.655000,0 days 00:00:18.329000,0 days 00:00:36.636000,0 days 01:00:49.823000,0 days 01:01:08.152000,0 days 01:01:44.788000,261.0,289.0,303.0,283.0,True,SOFT,2.0,True,Cadillac,0 days 01:00:20.168000,,1,,False,,False,True
0 days 01:03:39.373000,PER,11,0 days 00:01:54.585000,11.0,3.0,,,0 days 00:00:39.846000,0 days 00:00:26.066000,0 days 00:00:48.673000,0 days 01:02:24.634000,0 days 01:02:50.700000,0 days 01:03:39.373000,168.0,222.0,280.0,216.0,False,SOFT,3.0,True,Cadillac,0 days 01:01:44.788000,,12,,False,,False,True
0 days 01:05:56.357000,PER,11,0 days 00:02:16.984000,12.0,3.0,,0 days 01:05:44.938000,0 days 00:00:42.271000,0 days 00:00:27.743000,0 days 00:01:06.970000,0 days 01:04:21.644000,0 days 01:04:49.387000,0 days 01:05:56.357000,216.0,183.0,,298.0,False,SOFT,4.0,True,Cadillac,0 days 01:03:39.373000,,26,,False,,False,False
0 days 01:08:03.509000,PER,11,0 days 00:02:07.152000,13.0,4.0,0 days 01:05:59.859000,,0 days 00:00:59.624000,0 days 00:00:22.640000,0 days 00:00:44.888000,0 days 01:06:55.981000,0 days 01:07:18.621000,0 days 01:08:03.509000,179.0,299.0,282.0,195.0,False,SOFT,5.0,False,Cadillac,0 days 01:05:56.357000,,671,,False,,False,False
0 days 01:09:58.438000,PER,11,,14.0,4.0,,0 days 01:09:58.438000,0 days 00:00:44.381000,0 days 00:00:27.582000,,0 days 01:08:48.178000,0 days 01:09:15.550000,,144.0,224.0,,297.0,False,SOFT,6.0,False,Cadillac,0 days 01:08:03.509000,,1,,False,,False,False
0 days 00:19:13.096000,ANT,12,,1.0,1.0,0 days 00:15:23.677000,0 days 00:18:52.656000,,0 days 00:00:22.790000,0 days 00:01:11.116000,,0 days 00:18:02.179000,0 days 00:19:13.241000,226.0,216.0,,35.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:15:23.677000,,126,,False,,False,False
0 days 00:21:16.612000,ANT,12,0 days 00:02:03.516000,2.0,2.0,0 days 00:19:20.877000,,0 days 00:00:50.749000,0 days 00:00:21.172000,0 days 00:00:51.595000,0 days 00:20:03.845000,0 days 00:20:25.017000,0 days 00:21:16.612000,250.0,229.0,277.0,189.0,False,MEDIUM,2.0,False,Mercedes,0 days 00:19:13.096000,,671,,False,,False,False
0 days 00:22:40.975000,ANT,12,0 days 00:01:24.363000,3.0,2.0,,,0 days 00:00:29.885000,0 days 00:00:18.270000,0 days 00:00:36.208000,0 days 00:21:46.497000,0 days 00:22:04.767000,0 days 00:22:40.975000,261.0,270.0,285.0,278.0,True,MEDIUM,3.0,False,Mercedes,0 days 00:21:16.612000,,1,,False,,False,True
0 days 00:24:32.025000,ANT,12,0 days 00:01:51.050000,4.0,2.0,,,0 days 00:00:41.080000,0 days 00:00:26.408000,0 days 00:00:43.562000,0 days 00:23:22.055000,0 days 00:23:48.463000,0 days 00:24:32.025000,178.0,220.0,281.0,242.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:22:40.975000,,1,,False,,False,True
0 days 00:25:54.837000,ANT,12,0 days 00:01:22.812000,5.0,2.0,,,0 days 00:00:29.042000,0 days 00:00:18.425000,0 days 00:00:35.345000,0 days 00:25:01.067000,0 days 00:25:19.492000,0 days 00:25:54.837000,271.0,261.0,300.0,293.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:24:32.025000,,1,,False,,False,True
0 days 00:27:57.907000,ANT,12,0 days 00:02:03.070000,6.0,2.0,,,0 days 00:00:45.264000,0 days 00:00:31.021000,0 days 00:00:46.785000,0 days 00:26:40.101000,0 days 00:27:11.122000,0 days 00:27:57.907000,156.0,181.0,269.0,258.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:25:54.837000,,1,,False,,False,True
0 days 00:29:20.402000,ANT,12,0 days 00:01:22.495000,7.0,2.0,,,0 days 00:00:28.996000,0 days 00:00:18.059000,0 days 00:00:35.440000,0 days 00:28:26.903000,0 days 00:28:44.962000,0 days 00:29:20.402000,274.0,268.0,280.0,281.0,True,MEDIUM,7.0,False,Mercedes,0 days 00:27:57.907000,,1,,False,,False,True
0 days 00:31:38.879000,ANT,12,0 days 00:02:18.477000,8.0,2.0,,,0 days 00:01:08.418000,0 days 00:00:23.429000,0 days 00:00:46.630000,0 days 00:30:28.820000,0 days 00:30:52.249000,0 days 00:31:38.879000,174.0,244.0,284.0,267.0,False,MEDIUM,8.0,False,Mercedes,0 days 00:29:20.402000,,1,,True,TRACK LIMITS AT TURN 4 LAP 9 ,False,True
